source,title,client_name,order_number,pacing_type,start_date,end_date,strategy,monthly,total,rate
mcp-Google_Drive-read_file_content-1790081135469.txt,State College Spikes,State College Spikes,,impression,2026-08-10,2026-08-31,SM - B,40000.0,40000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,State College Spikes,State College Spikes,,impression,2026-08-10,2026-08-31,SM - AI,40000.0,40000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,State College Spikes,State College Spikes,,impression,2026-08-10,2026-08-31,SM - GF,10000.0,10000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,State College Spikes,State College Spikes,,impression,2026-08-10,2026-08-31,SM - GR,10000.0,10000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,The Grange Fair,The Grange Fair,,impression,2026-07-06,2026-08-23,SM - R,10000.0,20000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,The Student Bookstore,The Student Bookstore,,impression,2026-09-01,2026-12-31,MC - Geo-Retargeting,50000.0,200000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,The Student Bookstore,The Student Bookstore,,impression,2026-09-01,2026-12-31,MC - Geo-Fencing,50000.0,200000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,The Student Bookstore,The Student Bookstore,,impression,2026-09-01,2026-12-31,MC - Category,50000.0,200000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,The Student Bookstore,The Student Bookstore,,impression,2026-09-01,2026-12-31,MC - Site Retargeting,50000.0,200000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,The Student Bookstore,The Student Bookstore,,impression,2026-09-01,2026-12-31,D - R,5000.0,20000.0,2.5
mcp-Google_Drive-read_file_content-1790081135469.txt,The Student Bookstore,The Student Bookstore,,impression,2026-09-01,2026-12-31,D - B,45000.0,180000.0,2.5
mcp-Google_Drive-read_file_content-1790081135469.txt,The Student Book Store Summer,The Student Book Store Summer,,impression,2026-06-01,2026-08-31,MC - Geo-Retargeting,30000.0,90000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,The Student Book Store Summer,The Student Book Store Summer,,impression,2026-06-01,2026-08-31,MC - Geo-Fencing,30000.0,90000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,The Student Book Store Summer,The Student Book Store Summer,,impression,2026-06-01,2026-08-31,MC - Category,30000.0,90000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,The Student Book Store Summer,The Student Book Store Summer,,impression,2026-06-01,2026-08-31,MC - Site Retargeting,30000.0,90000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Trinity Plastics Incorporated,Trinity Plastics Incorporated,,impression,2026-05-15,2026-08-16,SM - R,,,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Trinity Plastics Incorporated,Trinity Plastics Incorporated,,impression,2026-05-15,2026-08-16,SM - B,88235.0,264705.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Trinity Plastics Incorporated,Trinity Plastics Incorporated,,impression,2026-05-15,2026-08-16,SM - GF,,,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Trinity Plastics Incorporated,Trinity Plastics Incorporated,,impression,2026-05-15,2026-08-16,SM - GR,,,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,ASI Insulation & Abatement #54126,ASI Insulation & Abatement #54126,54126,impression,2026-06-22,2026-09-27,Native - B2B Retargeting,41667.0,125000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Green Couch,Green Couch,,impression,2026-08-17,2027-08-15,SM - B2B Behavioral,54000.0,648000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Jet PreCooler #54165,Jet PreCooler #54165,54165,impression,2026-06-22,2026-09-27,Native - B2B Retargeting,41667.0,125000.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU KC #52263,VSCU KC #52263,52263,impression,2026-08-31,2026-09-13,LI #124539,,,
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU KC #52263,VSCU KC #52263,52263,impression,2026-08-31,2026-09-13,Audio - Behavioral,10000.0,10000.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU KC #52263,VSCU KC #52263,52263,impression,2026-08-31,2026-09-13,Audio - AI,14444.0,14444.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU TC KC,VSCU TC KC,,impression,2026-08-31,2026-09-13,HELOC #124546,,,
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU TC KC,VSCU TC KC,,impression,2026-08-31,2026-09-13,Audio - Behavioral,11111.0,11111.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU TC KC,VSCU TC KC,,impression,2026-08-31,2026-09-13,Audio - AI,11111.0,11111.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU KC #52268,VSCU KC #52268,52268,impression,2026-08-31,2026-09-13,LI #124546,,,
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU KC #52268,VSCU KC #52268,52268,impression,2026-08-31,2026-09-13,Audio - Behavioral,11111.0,11111.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU KC #52268,VSCU KC #52268,52268,impression,2026-08-31,2026-09-13,Audio - AI,11111.0,11111.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU TC KC,VSCU TC KC,,impression,2026-06-01,2026-06-14,HELOC #127419,,,
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU TC KC,VSCU TC KC,,impression,2026-06-01,2026-06-14,Audio - Behavioral,11111.0,11111.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU TC KC,VSCU TC KC,,impression,2026-06-01,2026-06-14,Audio - AI,11111.0,11111.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU SC,VSCU SC,,impression,2026-08-31,2026-09-13,LI #124560,,,
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU SC,VSCU SC,,impression,2026-08-31,2026-09-13,Audio - Behavioral,18888.0,18888.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU SC,VSCU SC,,impression,2026-08-31,2026-09-13,Audio - AI,20000.0,20000.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU SJC,VSCU SJC,,impression,2026-02-11,2026-02-22,OA - AI,19444.0,19444.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,VSCU SJC,VSCU SJC,,impression,2026-02-11,2026-02-22,OA - Behavioral,19444.0,19444.0,13.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Black Hawk College,Black Hawk College,,impression,2026-09-01,2026-11-30,TT - Category/Hashtag,9333.0,27999.0,3.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Davis County Hospital & Clinics,Davis County Hospital & Clinics,,impression,2026-09-01,2026-11-30,SM - AI,30000.0,90000.0,2.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Ellsworth Community College,Ellsworth Community College,,impression,2026-09-01,2026-09-30,MC Event - Retargeting,19445.0,19445.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Ellsworth Community College,Ellsworth Community College,,impression,2026-09-01,2026-09-30,MC Event - Geo-Fencing,100000.0,100000.0,5.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Mike Fereday Heating + Cooling,Mike Fereday Heating + Cooling,,impression,2026-10-01,2026-11-30,MC - Retargeting,10000.0,20000.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Mike Fereday Heating + Cooling,Mike Fereday Heating + Cooling,,impression,2026-10-01,2026-11-30,MC - Winter Temperature Weather Trigger,41111.0,82222.0,3.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Kirkwood Community College,Kirkwood Community College,,impression,2026-08-10,2026-08-31,AZ CTV - Prime Genre,27778.0,27778.0,19.62
mcp-Google_Drive-read_file_content-1790081135469.txt,Kirkwood Community College,Kirkwood Community College,,impression,2026-08-10,2026-08-31,AZ V  - Behavioral,55555.0,55555.0,36.12
mcp-Google_Drive-read_file_content-1790081135469.txt,Kirkwood Community College - Adult Learner - Non-Trad,Kirkwood Community College,,impression,2026-08-01,2026-10-31,MC - Retargeting,73333.0,219999.0,5.0
mcp-Google_Drive-read_file_content-1790081135469.txt,Demlang Builders #44528,Demlang Builders #44528,44528,impression,2025-08-01,2025-09-30,Behavioral Display,50000.0,100000.0,1.5
mcp-Google_Drive-read_file_content-1790081135469.txt,Demlang Builders #44528,Demlang Builders #44528,44528,impression,2025-08-01,2025-09-30,Geo-Fencing Display,25000.0,50000.0,1.5
